sha256,Malware Name,OS,Category
015ddffd4dc9f5e7f09d79f5d60d5ef42b9054f63522766fd5f2ecbb7196d667,Agenttesla,Windows,Infostealer
0707a94356aa1c072718ccc6a687b250a64d64d4dbd0bd2143b38dc5e6ea2bcd,Agenttesla,Windows,Infostealer
a6cda94d44fe7bac7bc6dd2e62e15f355afe097d4f983dd56de7ebb3209c6ed9,Agenttesla,Windows,Infostealer
42e8e92b3d896847b07274501b2e8f2e0644006899cadf4e27f7b01de764a56c,Agenttesla,Windows,Infostealer
167a7a33c321ff9bf91a313c19edb14c195c34662c465560a868e6d2d8f214ad,Agenttesla,Windows,Infostealer
c8e78966daecc2153849bca8aae0918baa8ef2ca610d23a4cdfccedaffc9fc7d,Agenttesla,Windows,Infostealer
044ce9e194f5194b8d0e12e8e05fc3a3ff3782e60d5b3838351e80ac43663e4d,Agenttesla,Windows,Infostealer
dff297acb567f990471dca2871adee15229e572c35fef5fd20eb9a1428946c04,Agenttesla,Windows,Infostealer
434affc196aedacb686d0dcd5d15fc03e85a4cf3db041192d8e8c995291488c1,Agenttesla,Windows,Infostealer
55d04ebb75a3499fc5bb89c75ae5a6ed0b2ab194d6b49cf272da0bce9b941721,Agenttesla,Windows,Infostealer
f611a512d65053f68baee97be8cbda5e0539fe061032466a1937c9a1659c2791,Agenttesla,Windows,Infostealer
a143da5889aa739a18399bf2d4fe6352191eaa06ed7ef2568dfd57983eaa416a,Agenttesla,Windows,Infostealer
df9cda22adcc6f050ef0efcf8e93248b254d4708a2616b08531911d10b2a1eb1,Agenttesla,Windows,Infostealer
af852fa71e4e2979b288920a1144bc6fdeaf4b47747e6a18a457f1242ab8f7cd,Agenttesla,Windows,Infostealer
c3fb8862aa52c578aca75ee923448a3013ff97e2ebe3b0dad8d6d708e78262bf,Agenttesla,Windows,Infostealer
52adc27e384cb4ae0d0e096792526ca660f8b2a42e60d69ffd44e67def0fcf12,Agenttesla,Windows,Infostealer
6fde7f531438d2122f5b9b31f9aca0d1fbbef59e20d73cf81eac9b6250dededc,Agenttesla,Windows,Infostealer
7fa9cbba2e861aa443966baa50c38728d4d3fd4759ede5b598b27f2d7809e4e1,Agenttesla,Windows,Infostealer
3154656cabe028daaaa85185fe521658adf8e39c36578a21b609c47f19d5dce4,Agenttesla,Windows,Infostealer
